cn,pr,pf,link,inst,plink,rating,tags
The Complete 2023 Web Development,3399,Udemy,https://www.udemy.com/course/the-complete-web-development-bootcamp/,Dr. Angela Yu,https://img-c.udemycdn.com/course/240x135/1565838_e54e_16.jpg,4.7,Development
Strivers A2Z DSA course,0,Youtube,https://www.youtube.com/watch?v=EAR7De6Goz4&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz,take U forward,https://img.youtube.com/vi/EAR7De6Goz4/maxresdefault.jpg,0,Data Structure and Algorithm
Introduction to Blockchain for Financial Services,0,Coursera,https://www.coursera.org/learn/intro-blockchain-financial-services,INSEAD,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d2/9c1ab69b7247bfa649411506111928/course1_thumbnail_fs_2022.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.7,Blockchain Technology
DBMS (Database Management System),0,Youtube,https://www.youtube.com/playlist?list=PLdo5W4Nhv31b33kF46f9aFjoJPOkdlsRc,Jenny's Lectures CS IT,https://img.youtube.com/vi/T7AxM7Vqvaw/sddefault.jpg,0,DBMS
Java complete course,0,Youtube,https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop,apna college,https://img.youtube.com/vi/yRpLlJmRo2w/maxresdefault.jpg,0,Data Structure and Algorithm
Complete C# Unity Game Developer,3399,Udemy,https://www.udemy.com/course/unitycourse2/,Ben Tristem Rick Davidson GameDev.tv Team Gary Pettie,https://img-c.udemycdn.com/course/240x135/1178124_76bb_11.jpg,4.7,Development
Arduino For Beginners - 2023,3199,Udemy,https://www.udemy.com/course/arduino-for-beginners-complete-course/,Edouard Renard,https://img-c.udemycdn.com/course/240x135/3842862_84f0_4.jpg,4.5,Robotics
Data Structures and Program Methodology,0,NPTEL,https://nptel.ac.in/courses/106103069,Dr. S.V. Rao,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/IIT_Guwahati_Logo.svg/1200px-IIT_Guwahati_Logo.svg.png,0,Data Structure and Algorithm
DSA to Development: A Complete Guide,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/dsa-to-development-coding-guide,,https://media.geeksforgeeks.org/img-practice/banner/dsa-to-development-coding-guide-thumbnail.png?v=19545,0,Development
Angular - The Complete Guide,3399,Udemy,https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/756150_c033_2.jpg,4.6,Development
